iter	Accuracy	Logloss
0	0.8304347826	0.6225895569
1	0.8652173913	0.5602696301
2	0.8717391304	0.5074995337
3	0.8811594203	0.472468418
4	0.884057971	0.4350929178
5	0.8884057971	0.4090533426
6	0.8905797101	0.3883920068
7	0.8927536232	0.3706143976
8	0.8942028986	0.3530013638
9	0.8934782609	0.3376579674
10	0.9	0.3245226189
11	0.9	0.3137122283
12	0.8985507246	0.3054429507
13	0.9014492754	0.2961510898
14	0.9057971014	0.2866222769
15	0.9086956522	0.2807118191
16	0.9086956522	0.2743053436
17	0.9094202899	0.2676168645
18	0.9108695652	0.2619679059
19	0.9108695652	0.2571220647
20	0.9115942029	0.252433638
21	0.9115942029	0.2499736027
22	0.9144927536	0.2452690265
23	0.9166666667	0.2407659005
24	0.9188405797	0.2373084029
25	0.9188405797	0.2340595615
26	0.9173913043	0.2319851224
27	0.9188405797	0.228372021
28	0.9188405797	0.2255991818
29	0.9253623188	0.221525322
30	0.9297101449	0.2186258106
31	0.9289855072	0.2142601715
32	0.9275362319	0.2118417488
33	0.9282608696	0.2087843952
34	0.9304347826	0.205547758
35	0.9311594203	0.2043353846
36	0.9311594203	0.2017884884
37	0.934057971	0.1996077328
38	0.9355072464	0.1958834652
39	0.9362318841	0.1940815496
40	0.9369565217	0.1918561899
41	0.9398550725	0.1888633048
42	0.9398550725	0.1882809869
43	0.9405797101	0.1854172301
44	0.9405797101	0.184475722
45	0.9405797101	0.1829344428
46	0.9442028986	0.1801094041
47	0.9471014493	0.1769678505
48	0.947826087	0.1746954632
49	0.947826087	0.1726743842
50	0.9492753623	0.170848069
51	0.95	0.1679206613
52	0.9514492754	0.1663531297
53	0.95	0.1645161863
54	0.9514492754	0.1624060055
55	0.952173913	0.1611588529
56	0.952173913	0.1608684429
57	0.9536231884	0.1586254669
58	0.9543478261	0.1571437637
59	0.9550724638	0.1556157547
60	0.9572463768	0.1535392323
61	0.9586956522	0.1521139501
62	0.9586956522	0.1517560444
63	0.9594202899	0.1499302917
64	0.9594202899	0.1483870354
65	0.9608695652	0.1467251282
66	0.9615942029	0.1438682194
67	0.9615942029	0.1429245539
68	0.9644927536	0.1410687516
69	0.9644927536	0.1392987263
70	0.9652173913	0.1376669452
71	0.965942029	0.1362514278
72	0.9666666667	0.1352769402
73	0.9673913043	0.1343641439
74	0.968115942	0.1334168023
75	0.9688405797	0.1323385682
76	0.9695652174	0.1302511609
77	0.9702898551	0.1284096902
78	0.9702898551	0.1272226826
79	0.9710144928	0.126148431
80	0.9710144928	0.1240559404
81	0.9717391304	0.1225803715
82	0.9724637681	0.1219631598
83	0.9739130435	0.1208707925
84	0.9731884058	0.1195052127
85	0.9746376812	0.117989759
86	0.9753623188	0.1170847164
87	0.9760869565	0.1159743411
88	0.9768115942	0.1148986511
89	0.9775362319	0.1137924265
90	0.9775362319	0.1127362963
91	0.9768115942	0.1118429477
92	0.9775362319	0.1105580962
93	0.9789855072	0.1091364714
94	0.9782608696	0.1075947776
95	0.9789855072	0.1070160812
96	0.9789855072	0.1056983537
97	0.9789855072	0.105189055
98	0.9804347826	0.1034011
99	0.9804347826	0.101631369
100	0.9804347826	0.1012443634
101	0.9804347826	0.1009803844
102	0.9804347826	0.0997506139
103	0.9804347826	0.09929892879
104	0.9804347826	0.09820067281
105	0.9811594203	0.09695170907
106	0.981884058	0.09599580477
107	0.981884058	0.09482383499
108	0.9811594203	0.09402581802
109	0.9833333333	0.09375744214
110	0.9826086957	0.0929591283
111	0.9847826087	0.09204051956
112	0.9862318841	0.09154666837
113	0.9862318841	0.09067362634
114	0.9862318841	0.08980653844
115	0.9862318841	0.08844996502
116	0.9876811594	0.08763630154
117	0.9884057971	0.08679012709
118	0.9876811594	0.08608349933
119	0.9876811594	0.08508142971
120	0.9876811594	0.0841407815
121	0.9876811594	0.08408574259
122	0.9884057971	0.08379470121
123	0.9884057971	0.08360676525
124	0.9891304348	0.08298029343
125	0.9891304348	0.08199354303
126	0.9898550725	0.08118877586
127	0.9905797101	0.08016343463
128	0.9913043478	0.07982392123
129	0.9920289855	0.07939067749
130	0.9927536232	0.07794631954
131	0.9927536232	0.0774006723
132	0.9934782609	0.07665587478
133	0.9934782609	0.07604112248
134	0.9934782609	0.07538678949
135	0.9934782609	0.07466038539
136	0.9934782609	0.07448484599
137	0.9927536232	0.07378886679
138	0.9934782609	0.07350695411
139	0.9934782609	0.07339700982
140	0.9934782609	0.07299064919
141	0.9934782609	0.07202429064
142	0.9934782609	0.07144015725
143	0.9949275362	0.07023586752
144	0.9956521739	0.06940511309
145	0.9963768116	0.06859165704
146	0.9971014493	0.06786661377
147	0.9971014493	0.0670062208
148	0.9971014493	0.0662162438
149	0.9971014493	0.06535828505
150	0.9971014493	0.06506988475
151	0.9971014493	0.06427411784
152	0.9971014493	0.06410675163
153	0.9971014493	0.0636119519
154	0.9971014493	0.0634288168
155	0.9971014493	0.06248844509
156	0.9971014493	0.06193278186
157	0.997826087	0.06131740299
158	0.9971014493	0.06064636756
159	0.9971014493	0.06014905177
160	0.9971014493	0.06009635713
161	0.9971014493	0.05980717958
162	0.9971014493	0.05929143208
163	0.9971014493	0.05897397821
164	0.9971014493	0.05861564322
165	0.9971014493	0.05821358181
166	0.9971014493	0.05765327406
167	0.997826087	0.057140431
168	0.9985507246	0.05652042698
169	0.9985507246	0.05616819643
170	0.9992753623	0.05517946233
171	0.9992753623	0.05468612937
172	0.9992753623	0.05436558585
173	0.9992753623	0.05407357389
174	0.9992753623	0.05359452756
175	1	0.05333208621
176	1	0.05285687604
177	1	0.05229405243
178	1	0.05171344582
179	1	0.05132269469
180	1	0.05066759497
181	1	0.05031164215
182	1	0.04989283505
183	1	0.04966559743
184	1	0.04895270601
185	1	0.04877527392
186	1	0.04835516127
187	1	0.04823098343
188	1	0.0478607733
189	1	0.04753571606
190	1	0.04723024725
191	1	0.04681748193
192	1	0.04642948631
193	1	0.04614318625
194	1	0.04596204634
195	1	0.04544859891
196	1	0.04528979231
197	1	0.04485829456
198	1	0.04473470322
199	1	0.04433850299
