iter	Passed	Remaining
0	4	918
1	7	731
2	9	641
3	12	616
4	15	605
5	18	583
6	20	572
7	23	553
8	25	549
9	28	537
10	31	536
11	33	525
12	36	519
13	38	515
14	41	517
15	44	513
16	47	506
17	49	502
18	53	507
19	57	517
20	60	513
21	63	513
22	65	507
23	68	503
24	71	498
25	74	495
26	76	488
27	79	486
28	81	482
29	84	477
30	86	473
31	90	472
32	93	470
33	95	465
34	98	463
35	100	458
36	103	454
37	105	450
38	108	446
39	110	442
40	113	439
41	115	435
42	118	431
43	120	428
44	123	424
45	125	420
46	129	421
47	132	420
48	135	418
49	139	418
50	143	418
51	146	418
52	149	414
53	151	410
54	154	407
55	157	403
56	158	396
57	161	395
58	163	391
59	166	388
60	168	384
61	171	381
62	172	374
63	176	375
64	182	378
65	186	378
66	190	377
67	193	376
68	196	373
69	199	370
70	201	366
71	205	364
72	207	361
73	210	357
74	212	353
75	215	351
76	217	348
77	220	345
78	223	341
79	225	338
80	229	336
81	231	333
82	235	332
83	239	330
84	243	329
85	246	326
86	251	326
87	254	324
88	258	322
89	261	319
90	264	316
91	266	313
92	269	309
93	272	307
94	274	303
95	277	300
96	279	297
97	282	293
98	285	291
99	288	288
100	291	285
101	294	282
102	297	279
103	299	276
104	302	274
105	305	270
106	308	267
107	310	264
108	313	261
109	316	258
110	318	255
111	322	253
112	326	251
113	329	248
114	332	246
115	336	243
116	340	241
117	343	238
118	346	235
119	349	232
120	359	234
121	362	231
122	365	228
123	369	226
124	372	223
125	375	220
126	378	217
127	388	218
128	391	215
129	394	212
130	398	209
131	401	206
132	404	203
133	406	200
134	409	197
135	413	194
136	416	191
137	422	189
138	425	186
139	427	183
140	431	180
141	433	177
142	436	174
143	439	170
144	442	167
145	453	167
146	457	164
147	459	161
148	463	158
149	466	155
150	469	152
151	472	149
152	475	146
153	478	143
154	482	139
155	485	136
156	489	133
157	491	130
158	494	127
159	497	124
160	509	123
161	513	120
162	517	117
163	519	114
164	522	110
165	525	107
166	528	104
167	531	101
168	535	98
169	539	95
170	542	92
171	545	88
172	548	85
173	550	82
174	553	79
175	555	75
176	558	72
177	561	69
178	563	66
179	567	63
180	569	59
181	573	56
182	578	53
183	581	50
184	584	47
185	587	44
186	590	41
187	593	37
188	597	34
189	599	31
190	602	28
191	605	25
192	608	22
193	610	18
194	613	15
195	615	12
196	617	9
197	620	6
198	624	3
199	628	0
